OBJECTID,FID_philly_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
51,211,420757,1.1.1.0,420757_466,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,5, ,A6,A,0.001993174986628,0.000000077853046,7940.438121287440481
52,212,420757,1.1.1.0,420757_467,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,35, ,C11,C,0.000180030175851,0.000000001302187,132.821020215845778
53,213,420757,1.1.1.0,420757_468,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,35, ,C11,C,0.005123610178808,0.000000391444284,39929.490608060827071
54,213,420757,1.1.1.0,420757_468,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,73, ,D8,D,0.000185666897456,0.000000001090126,111.191984797631150
55,247,420757,1.1.1.0,420757_1031,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,64, ,D23,D,0.022583634784226,0.000010448627860,1068192.022902844706550
56,274,420757,1.1.1.0,420757_597,NP,AE, ,T,27.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,16, ,B15,B,0.000817338411130,0.000000027320536,2787.717439946717604
57,276,420757,1.1.1.0,420757_600,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,72, ,D7,D,0.016940461007340,0.000001684889316,171930.185251464048633
58,277,420757,1.1.1.0,420757_601,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,16, ,B15,B,0.001202227277032,0.000000043894388,4478.998354476505483
59,279,420757,1.1.1.0,420757_605,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,34, ,C10,C,0.027146168316175,0.000007238161254,738694.564012659480795
60,279,420757,1.1.1.0,420757_605,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,50, ,D10,D,0.002260357054972,0.000000064882295,6622.037866939363994
61,279,420757,1.1.1.0,420757_605,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,72, ,D7,D,0.038284732877160,0.000008470338319,864366.431979912449606
62,280,420757,1.1.1.0,420757_626,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,74, ,D9,D,0.008966876782602,0.000000518584882,52921.168713008948544
63,281,420757,1.1.1.0,420757_635,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,50, ,D10,D,0.019913894002655,0.000001227726265,125303.366091635136399
64,296,420757,1.1.1.0,420757_722,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,58, ,D18,D,0.038125846058308,0.000006472488443,661130.607893685693853
65,298,420757,1.1.1.0,420757_724,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,55, ,D15,D,0.015400872999885,0.000004185241205,427368.400477326707914
66,304,420757,1.1.1.0,420757_737,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,61, ,D20,D,0.001366912980202,0.000000042285102,4317.770700655196379
67,312,420757,1.1.1.0,420757_793,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,58, ,D18,D,0.004690500513802,0.000000495676061,50632.869427379388071
68,314,420757,1.1.1.0,420757_801,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,23, ,B20,B,0.001143953039238,0.000000021739359,2220.686871492941009
69,323,420757,1.1.1.0,420757_818,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,23, ,B20,B,0.004378025388563,0.000000275626344,28158.894767838337430
70,334,420757,1.1.1.0,420757_836,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,23, ,B20,B,0.003495982848082,0.000000141489431,14456.228328235361914
71,334,420757,1.1.1.0,420757_836,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,63, ,D22,D,0.036050133797254,0.000008356598238,853929.168921963428147
72,334,420757,1.1.1.0,420757_836,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,64, ,D23,D,0.015145541853380,0.000010115235761,1033757.901881920988671
73,342,420757,1.1.1.0,420757_878,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,64, ,D23,D,0.380731847917836,0.000399797531790,40865557.366170234978199
74,346,420757,1.1.1.0,420757_897,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,64, ,D23,D,0.043009359528980,0.000027459307110,2806454.621427858714014
75,348,420757,1.1.1.0,420757_941,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,64, ,D23,D,0.034821113119424,0.000018877298447,1929697.333627937827259
76,360,420757,1.1.1.0,420757_1004,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,64, ,D23,D,0.033290875031791,0.000024470077541,2501331.383422742132097
77,376,420757,1.1.1.0,420757_1082,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,34, ,C10,C,0.132814574063798,0.000056708482321,5787435.688040781766176
78,376,420757,1.1.1.0,420757_1082,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,50, ,D10,D,0.081373656825584,0.000031620862470,3227963.962988815270364
79,378,420757,1.1.1.0,420757_84,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.023161190159480,0.000004877345193,497325.406578583293594
