OBJECTID,FID_houston_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
11,561,48201C,1.1.1.0,48201C_1382,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,32, , ,D,0.004300414423452,0.000000451257086,52174.084007663128432
12,562,48201C,1.1.1.0,48201C_1383,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,32, , ,D,0.001404307209356,0.000000076424744,8836.080049810479977
13,563,48201C,1.1.1.0,48201C_1384,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,32, , ,D,0.006533424924212,0.000001330770324,153861.246915672352770
14,576,48201C,1.1.1.0,48201C_1421,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,7, , ,B,0.000270238698131,0.000000002183916,252.657156878376526
15,576,48201C,1.1.1.0,48201C_1421,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,8, , ,B,0.002707046944656,0.000000118564637,13716.353728329182559
16,576,48201C,1.1.1.0,48201C_1421,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,14, , ,A,0.024713288416553,0.000005084384301,588211.299260196974501
17,579,48201C,1.1.1.0,48201C_1424,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,24, , ,C,0.004854612966569,0.000000583843781,67521.124216456519207
18,579,48201C,1.1.1.0,48201C_1424,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,32, , ,D,0.019849242746336,0.000006630854030,766647.151749539305456
19,579,48201C,1.1.1.0,48201C_1424,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.083353667755747,0.000042323892775,4893642.702279035001993
20,579,48201C,1.1.1.0,48201C_1424,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,37, , ,B,0.002280382043220,0.000000090949719,10515.855650752162546
21,584,48201C,1.1.1.0,48201C_1431,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,24, , ,C,0.006245351375834,0.000000588488415,68058.307458074632450
22,725,48201C,1.1.1.0,48201C_1816,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.004317161791954,0.000000286882020,33164.858656550779415
23,832,48201C,1.1.1.0,48201C_2076,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.000984243064180,0.000000012750886,1474.171267144604371
24,866,48201C,1.1.1.0,48201C_2172,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,14, , ,A,0.030159544033717,0.000010339660520,1196147.437906053615734
25,898,48201C,1.1.1.0,48201C_2249,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,32, , ,D,0.009701579527998,0.000001015371180,117396.004046697300510
26,898,48201C,1.1.1.0,48201C_2249,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.002243827792010,0.000000155320034,17958.087890884278750
